Adresa,LocSort
GP00300009,1510200
GP00300010,1510000
GP00300011,1509800
GP00300012,1509600
GP00300013,1509400
GP00300014,1509200
GP00300015,1509000
GP00300016,1508800
GP00300017,1508600
GP00300018,1508400
GP00300019,1508200
GP00300020,1508000
GP00300021,1507800
GP00300022,1507600
GP00300023,1507400
GP00300024,1507200
GP00300025,1507000
GP00300026,1506800
GP00300027,1506600
GP00300028,1506400
GP00300029,1506200
GP00301001,1511800
GP00301002,1511600
GP00301003,1511400
GP00301004,1511200
GP00301005,1511000
GP00301006,1510800
GP00301009,1510200
GP00301010,1510000
GP00301011,1509800
GP00301012,1509600
GP00301013,1509400
GP00301014,1509200
GP00301015,1509000
GP00301016,1508800
GP00301017,1508600
GP00301018,1508400
GP00301019,1508200
GP00301020,1508000
GP00301021,1507800
GP00301022,1507600
GP00301023,1507400
GP00301024,1507200
GP00301025,1507000
GP00301026,1506800
GP00301027,1506600
GP00301028,1506400
GP00301029,1506200
GP00302001,1511800
GP00302002,1511600
GP00302003,1511400
GP00302004,1511200
GP00302005,1511000
GP00302006,1510800
GP00302009,1510200
GP00302010,1510000
GP00302011,1509800
GP00302012,1509600
GP00302013,1509400
GP00302014,1509200
GP00302015,1509000
GP00302016,1508800
GP00302017,1508600
GP00302018,1508400
GP00302019,1508200
GP00302020,1508000
GP00302021,1507800
GP00302022,1507600
GP00302023,1507400
GP00302024,1507200
GP00302025,1507000
GP00302026,1506800
GP00302027,1506600
GP00302028,1506400
GP00302029,1506200
GP00303001,1511800
GP00303002,1511600
GP00303003,1511400
GP00303004,1511200
GP00303005,1511000
GP00303006,1510800
GP00303009,1510200
GP00303010,1510000
GP00303011,1509800
GP00303012,1509600
GP00303013,1509400
GP00303014,1509200
GP00303015,1509000
GP00303016,1508800
GP00303017,1508600
GP00303018,1508400
GP00303019,1508200
GP00303020,1508000
GP00303021,1507800
GP00303022,1507600
GP00303023,1507400
GP00303024,1507200
GP00303025,1507000
GP00303026,1506800
GP00303027,1506600
GP00303028,1506400
GP00303029,1506200
GP00304001,1511800
GP00304002,1511600
GP00304003,1511400
GP00304004,1511200
GP00304005,1511000
GP00304006,1510800
GP00304009,1510200
GP00304010,1510000
GP00304011,1509800
GP00304012,1509600
GP00304013,1509400
GP00304014,1509200
GP00304015,1509000
GP00304016,1508800
GP00304017,1508600
GP00304018,1508400
GP00304019,1508200
GP00304020,1508000
GP00304021,1507800
GP00304022,1507600
GP00304023,1507400
GP00304024,1507200
GP00304025,1507000
GP00304026,1506800
GP00304027,1506600
GP00304028,1506400
GP00304029,1506200
GP00400001,1500100
GP00400002,1500300
GP00400003,1500500
GP00400004,1500700
GP00400005,1500900
GP00400006,1501100
GP00400009,1501700
GP00400010,1501900
GP00400011,1502100
GP00400012,1502300
GP00400013,1502500
GP00400014,1502700
GP00400015,1502900
GP00400017,1503300
GP00400018,1503500
GP00400019,1503700
GP00400020,1503900
GP00400021,1504100
GP00400022,1504300
GP00400024,1504700
GP00400025,1504900
GP00400026,1505100
GP00400027,1505300
GP00400028,1505500
GP00400029,1505700
GP00401001,1500100
GP00401002,1500300
GP00401003,1500500
GP00401004,1500700
GP00401005,1500900
GP00401006,1501100
GP00401009,1501700
GP00401010,1501900
GP00401011,1502100
GP00401012,1502300
GP00401013,1502500
GP00401014,1502700
GP00401015,1502900
GP00401017,1503300
GP00401018,1503500
GP00401019,1503700
GP00401020,1503900
GP00401021,1504100
GP00401022,1504300
GP00401024,1504700
GP00401025,1504900
GP00401026,1505100
GP00401027,1505300
GP00401028,1505500
GP00401029,1505700
GP00402001,1500100
GP00402002,1500300
GP00402003,1500500
GP00402004,1500700
GP00402005,1500900
GP00402006,1501100
GP00402009,1501700
GP00402010,1501900
GP00402011,1502100
GP00402012,1502300
GP00402013,1502500
GP00402014,1502700
GP00402015,1502900
GP00402017,1503300
GP00402018,1503500
GP00402019,1503700
GP00402020,1503900
GP00402021,1504100
GP00402022,1504300
GP00402024,1504700
GP00402025,1504900
GP00402026,1505100
GP00402027,1505300
GP00402028,1505500
GP00402029,1505700
GP00403001,1500100
GP00403002,1500300
GP00403003,1500500
GP00403004,1500700
GP00403005,1500900
GP00403006,1501100
GP00403009,1501700
GP00403010,1501900
GP00403011,1502100
GP00403012,1502300
GP00403013,1502500
GP00403014,1502700
GP00403015,1502900
GP00403017,1503300
GP00403018,1503500
GP00403019,1503700
GP00403020,1503900
GP00403021,1504100
GP00403022,1504300
GP00403024,1504700
GP00403025,1504900
GP00403026,1505100
GP00403027,1505300
GP00403028,1505500
GP00403029,1505700
GP00404001,1500100
GP00404002,1500300
GP00404003,1500500
GP00404004,1500700
GP00404005,1500900
GP00404006,1501100
GP00404009,1501700
GP00404010,1501900
GP00404011,1502100
GP00404012,1502300
GP00404013,1502500
GP00404014,1502700
GP00404015,1502900
GP00404017,1503300
GP00404018,1503500
GP00404019,1503700
GP00404020,1503900
GP00404021,1504100
GP00404022,1504300
GP00404024,1504700
GP00404025,1504900
GP00404026,1505100
GP00404027,1505300
GP00404028,1505500
GP00404029,1505700
GP00500001,1500000
G003701239,4144580
G003702200,4144970
G003702201,4144960
G003702202,4144950
G003702203,4144940
G003702204,4144930
G003702205,4144920
G003702206,4144910
G003702207,4144900
G003702208,4144890
G003702209,4144880
G003702210,4144870
G003702211,4144860
G003702212,4144850
G003702213,4144840
G003702214,4144830
G003702215,4144820
G003702216,4144810
G003702217,4144800
G003702218,4144790
G003702219,4144780
G003702220,4144770
G003702221,4144760
G003702222,4144750
G003702223,4144740
G003702224,4144730
G003702225,4144720
G003702226,4144710
G003702227,4144700
G003702228,4144690
G003702229,4144680
G003702230,4144670
G003702231,4144660
G003702232,4144650
G003702233,4144640
G003702234,4144630
G003702235,4144620
G003702236,4144610
G003702237,4144600
G003702238,4144590
G003702239,4144580
G003703200,4144970
G003703201,4144960
G003703202,4144950
G003703203,4144940
G003703204,4144930
G003703205,4144920
G003703206,4144910
G003703207,4144900
G003703208,4144890
G003703209,4144880
G003703210,4144870
G003703211,4144860
G003703212,4144850
G003703213,4144840
G003703214,4144830
G003703215,4144820
G003703216,4144810
G003703217,4144800
G003703218,4144790
G003703219,4144780
G003703220,4144770
G003703221,4144760
G003703222,4144750
G003703223,4144740
G003703224,4144730
G003703225,4144720
G003703226,4144710
G003703227,4144700
G003703228,4144690
G003703229,4144680
G003703230,4144670
G003703231,4144660
G003703232,4144650
G003703233,4144640
G003703234,4144630
G003703235,4144620
G003703236,4144610
G003703237,4144600
G003703238,4144590
G003703239,4144580
G003704200,4144970
G003704201,4144960
G003704202,4144950
G003704203,4144940
G003704204,4144930
G003704205,4144920
G003704206,4144910
G003704207,4144900
G003704208,4144890
G003704209,4144880
G003704210,4144870
G003704211,4144860
G003704212,4144850
G003704213,4144840
G003704214,4144830
G003704215,4144820
G003704216,4144810
G003704217,4144800
G003704218,4144790
G003704219,4144780
G003704220,4144770
G003704221,4144760
G003704222,4144750
G003704223,4144740
G003704224,4144730
G003704225,4144720
G003704226,4144710
G003704227,4144700
G003704228,4144690
G003704229,4144680
G003704230,4144670
G003704231,4144660
G003704232,4144650
G003704233,4144640
G003704234,4144630
G003704235,4144620
G003704236,4144610
G003704237,4144600
G003704238,4144590
G003704239,4144580
G003705200,4144970
G003705201,4144960
G003705202,4144950
G003705203,4144940
G003705204,4144930
G003705205,4144920
G003705206,4144910
G003705207,4144900
G003705208,4144890
G003705209,4144880
G003705210,4144870
G003705211,4144860
G003705212,4144850
G003705213,4144840
G003705214,4144830
G003705215,4144820
G003705216,4144810
G003705217,4144800
G003705218,4144790
G003705219,4144780
G003705220,4144770
G003705221,4144760
G003705222,4144750
G003705223,4144740
G003705224,4144730
G003705225,4144720
G003705226,4144710
G003705227,4144700
G003705228,4144690
G003705229,4144680
G003705230,4144670
G003705231,4144660
G003705232,4144650
G003705233,4144640
G003705234,4144630
G003705235,4144620
G003705236,4144610
G003705237,4144600
G003705238,4144590
G003705239,4144580
G003706200,4144970
G003706201,4144960
G003706202,4144950
G003706203,4144940
G003706204,4144930
G003706205,4144920
G003706206,4144910
G003706207,4144900
G003706208,4144890
G003706209,4144880
G003706210,4144870
G003706211,4144860
G003706212,4144850
G003706213,4144840
G003706214,4144830
G003706215,4144820
G003706216,4144810
G003706217,4144800
G003706218,4144790
G003706219,4144780
G003706220,4144770
G003706221,4144760
G003706222,4144750
G003706223,4144740
G003706224,4144730
G003706225,4144720
G003706226,4144710
G003706227,4144700
G003706228,4144690
G003706229,4144680
G003706230,4144670
G003706231,4144660
G003706232,4144650
G003706233,4144640
G003706234,4144630
G003706235,4144620
G003706236,4144610
G003706237,4144600
G003706238,4144590
G003706239,4144580
G003707200,4144970
G003707201,4144960
G003707202,4144950
G003707203,4144940
G003707204,4144930
G003707205,4144920
G003707206,4144910
G003707207,4144900
G003707208,4144890
G003707209,4144880
G003707210,4144870
G003707211,4144860
G003707212,4144850
G003707213,4144840
G003707214,4144830
G003707215,4144820
G003707216,4144810
G003707217,4144800
G003707218,4144790
G003707219,4144780
G003707220,4144770
G003707221,4144760
G003707222,4144750
G003707223,4144740
G003707224,4144730
G003707225,4144720
G003707226,4144710
G003707227,4144700
G003707228,4144690
G003707229,4144680
G003707230,4144670
G003707231,4144660
G003707232,4144650
G003707233,4144640
G003707234,4144630
G003707235,4144620
G003707236,4144610
G003707237,4144600
G003707238,4144590
G003707239,4144580
G003708200,4144970
G003708201,4144960
G003708202,4144950
G003708203,4144940
G003708204,4144930
G003708205,4144920
G003708206,4144910
G003708207,4144900
G003708208,4144890
G003708209,4144880
G003708210,4144870
G003708211,4144860
G003708212,4144850
G003708213,4144840
G003708214,4144830
G003708215,4144820
G003708216,4144810
G003708217,4144800
G003708218,4144790
G003708219,4144780
G003708220,4144770
G003708221,4144760
G003708222,4144750
G003708223,4144740
G003708224,4144730
G003708225,4144720
G003708226,4144710
G003708227,4144700
G003708228,4144690
G003708229,4144680
G003708230,4144670
G003708231,4144660
G003708232,4144650
G003708233,4144640
G003708234,4144630
G003708235,4144620
G003708236,4144610
G003708237,4144600
G003708238,4144590
G003708239,4144580
G003709200,4144970
G003709201,4144960
G003709202,4144950
G003709203,4144940
G003709204,4144930
G003709205,4144920
G003709206,4144910
G003709207,4144900
G003709208,4144890
G003709209,4144880
G003709210,4144870
G003709211,4144860
G003709212,4144850
G003709213,4144840
G003709214,4144830
G003709215,4144820
G003709216,4144810
G003709217,4144800
G003709218,4144790
G003709219,4144780
G003709220,4144770
G003709221,4144760
G003709222,4144750
G003709223,4144740
G003709224,4144730
G003709225,4144720
G003709226,4144710
G003709227,4144700
G003709228,4144690
G003709229,4144680
G003709230,4144670
G003709231,4144660
G003709232,4144650
G003709233,4144640
G003709234,4144630
G003709235,4144620
G003709236,4144610
G003709237,4144600
G003709238,4144590
G003709239,4144580
G013600200,3106100
G013600201,3105900
G013600202,3105900
G013600203,3105900
G013600204,3105900
G013600205,3105900
G013600206,3105900
G013600207,3105900
G013600208,3105900
G013600209,3105700
G013600210,3105700
G013600211,3105700
G013600212,3105700
G013600213,3105700
G013600214,3105700
G013600215,3105700
G013600216,3105700
G013600217,3105500
G013600218,3105500
G013600219,3105500
G013600220,3105500
G013600221,3105500
G013600222,3105500
G013600223,3105500
G013600224,3105500
G013600225,3105300
G013600226,3105300
G013600227,3105300
G013600228,3105300
G013600229,3105300
G013600230,3105300
G013600231,3105300
G013600232,3105300
G013600233,3105100
G013600234,3105100
G013600235,3105100
G013600236,3105100
G013600237,3105100
G013600238,3105100
G013600239,3105100
G013601200,3106100
G013601201,3105900
G013601202,3105900
G013601203,3105900
G013601204,3105900
G013601205,3105900
G013601206,3105900
G013601207,3105900
G013601208,3105900
G013601209,3105700
G013601210,3105700
G013601211,3105700
G013601212,3105700
G013601213,3105700
G013601214,3105700
G013601215,3105700
G013601216,3105700
G013601217,3105500
G013601218,3105500
G013601219,3105500
G013601220,3105500
G013601221,3105500
G013601222,3105500
G013601223,3105500
G013601224,3105500
G013601225,3105300
G013601226,3105300
G013601227,3105300
G013601228,3105300
G013601229,3105300
G013601230,3105300
G013601231,3105300
G013601232,3105300
G013601233,3105100
G013601234,3105100
G013601235,3105100
G013601236,3105100
G013601237,3105100
G013601238,3105100
G013601239,3105100
G013602200,3106100
G013602201,3105900
G013602202,3105900
G013602203,3105900
G013602204,3105900
G013602205,3105900
G013602206,3105900
G013602207,3105900
G013602208,3105900
G013602209,3105700
G013602210,3105700
G013602211,3105700
G013602212,3105700
G013602213,3105700
G013602214,3105700
G013602215,3105700
G013602216,3105700
G013602217,3105500
G013602218,3105500
G013602219,3105500
G013602220,3105500
G013602221,3105500
G013602222,3105500
G013602223,3105500
G013602224,3105500
G013602225,3105300
G013602226,3105300
G013602227,3105300
G013602228,3105300
G013602229,3105300
G013602230,3105300
G013602231,3105300
G013602232,3105300
G013602233,3105100
G013602234,3105100
G013602235,3105100
G013602236,3105100
G013602237,3105100
G013602238,3105100
G013602239,3105100
G013603200,3106100
G013603201,3105900
G013603202,3105900
G013603203,3105900
G013603204,3105900
G013603205,3105900
G013603206,3105900
G013603207,3105900
G013603208,3105900
G013603209,3105700
G013603210,3105700
G013603211,3105700
G013603212,3105700
G013603213,3105700
G013603214,3105700
G013603215,3105700
G013603216,3105700
G013603217,3105500
G013603218,3105500
G013603219,3105500
G013603220,3105500
G013603221,3105500
G013603222,3105500
G013603223,3105500
G013603224,3105500
G013603225,3105300
G013603226,3105300
G013603227,3105300
G013603228,3105300
G013603229,3105300
G013603230,3105300
G013603231,3105300
G013603232,3105300
G013603233,3105100
G013603234,3105100
G013603235,3105100
G013603236,3105100
G013603237,3105100
G013603238,3105100
G013603239,3105100
G013604200,3106100
G013604201,3105900
G013604202,3105900
G013604203,3105900
G013604204,3105900
G013604205,3105900
G013604206,3105900
G013604207,3105900
G013604208,3105900
G013604209,3105700
G013604210,3105700
G013604211,3105700
G013604212,3105700
G013604213,3105700
G013604214,3105700
G013604215,3105700
G013604216,3105700
G013604217,3105500
G013604218,3105500
G013604219,3105500
G013604220,3105500
G013604221,3105500
G013604222,3105500
G013604223,3105500
G013604224,3105500
G013604225,3105300
G013604226,3105300
G013604227,3105300
G013604228,3105300
G013604229,3105300
G013604230,3105300
G013604231,3105300
G013604232,3105300
G013604233,3105100
G013604234,3105100
G013604235,3105100
G013604236,3105100
G013604237,3105100
G013604238,3105100
G013604239,3105100
G013605200,3106100
G013605201,3105900
G013605202,3105900
G013605203,3105900
G013605204,3105900
G013605205,3105900
G013605206,3105900
G013605207,3105900
G013605208,3105900
G013605209,3105700
G013605210,3105700
G013605211,3105700
G013605212,3105700
G013605213,3105700
G013605214,3105700
G013605215,3105700
G013605216,3105700
G013605217,3105500
G013605218,3105500
G013605219,3105500
G013605220,3105500
G013605221,3105500
G013605222,3105500
G013605223,3105500
G013605224,3105500
G013605225,3105300
G013605226,3105300
G013605227,3105300
G013605228,3105300
G013605229,3105300
G013605230,3105300
G013605231,3105300
G013605232,3105300
G013605233,3105100
G013605234,3105100
G013605235,3105100
G013605236,3105100
G013605237,3105100
G013605238,3105100
G013605239,3105100
G013606200,3106100
G013606201,3105900
G013606202,3105900
G013606203,3105900
G013606204,3105900
G013606205,3105900
G013606206,3105900
G013606207,3105900
G013606208,3105900
G013606209,3105700
G013606210,3105700
G013606211,3105700
G013606212,3105700
G013606213,3105700
G013606214,3105700
G013606215,3105700
G013606216,3105700
G013606217,3105500
G013606218,3105500
G013606219,3105500
G013606220,3105500
G013606221,3105500
G013606222,3105500
G013606223,3105500
G013606224,3105500
G013606225,3105300
G013606226,3105300
G013606227,3105300
G013606228,3105300
G013606229,3105300
G013606230,3105300
G013606231,3105300
G013606232,3105300
G013606233,3105100
G013606234,3105100
G013606235,3105100
G013606236,3105100
