Product,Unit,PackageType,ContentQty,X,Y,Z,Weight
875,Car,BA,20,47.4,22.6,38.1,10.582
875,Unit,BA,1,18.9,8.5,9.2,0.488
875,Car,BA,20,45,22,43,9.24
2088,Unit,BA,1,40,11,26,0.95
2088,Car,BA,2,41,28,24,2.34
2252,Unit,BA,1,31,2,22,0.58
2252,Car,BA,20,46,19,32,12.15
2319,Unit,BA,1,44,2,32,1.03
2319,Car,BA,10,45,17,33,10.88
2321,Car,BA,10,51,16,36,13.75
2321,Unit,BA,1,50,2,35,1.31
2323,Car,BA,20,32,19,24,8.88
2323,Unit,BA,1,21.9,0.9,30.2,0.42
2327,Unit,BA,1,50,2.5,34.5,0.3
2328,Unit,BA,1,30.9,2,22.2,0.75
2328,Car,BA,20,47,20,33,15.4
12045,Car,BA,100,39,28,34,10.04
12045,Unit,BA,1,12.7,2,20,0.098
13264,Unit,BA,1,47,5,9,0.1
13264,Car,BA,50,51,32,48,8.75
13549,Unit,BA,1,31,2,22,0.75
13549,Car,BA,20,46,20,32,15.7
13629,Unit,BA,1,7.9,1.1,10,0.01
13629,Car,BA,200,46,14,27,2.09
13631,Car,BA,200,48,15,27,0.7
13631,Unit,BA,1,11.5,1,8,0.01
13635,Unit,BA,1,5,3,12,0.03
13635,Car,KO,10,16,10,12,0
13635,Car,BA,240,52,34,33,9.82
13640,Car,BA,120,50,36,29,7.4
13640,Unit,BA,1,13.8,3.3,8,0.05
13642,Unit,BA,1,13.9,3.2,8,0.052
13642,Car,BA,120,49.8,36,30.2,7.762
13684,Car,BA,50,51,49,32,9.05
13684,Unit,BA,1,49.5,3.5,9,0.2
13689,Unit,BA,1,52,4,15,0.4
13689,Car,BA,30,54,47,36,13.3
13836,Unit,BA,1,34,1,23,0.28
13836,Car,BA,50,35,33,24,14.56
13942,Unit,BA,1,13,3,13,0.08
13942,Car,BA,80,45,28,31,6.83
13950,Car,BA,20,54,28,37,8.38
13950,Unit,BA,1,52,4,13,0.37
14278,Unit,BA,1,30.5,0.3,22,1
17641,Car,BA,80,45.6,26.9,33.3,17.244
17641,Unit,BA,1,14.5,4.3,19,0.206
18666,Car,BA,10,54,15,16,6.02
18666,Unit,BA,1,12.5,5.3,14.4,0.498
18668,Car,KO,10,55,27,15.5,4
18668,Pal,KO,300,80,200,120,0
18668,Unit,BA,1,10.8,13,15,0.846
22947,Unit,BA,1,15,2,11,0.05
22947,Car,BA,50,56,15,22,2.88
22952,Car,BA,40,48,15,28,6.25
22952,Unit,BA,1,16,3,11,0.15
22979,Car,BA,50,57,15,23,2.95
22979,Unit,BA,1,15,3,11,0.05
22980,Car,BA,50,57,16,22,2.95
22980,Unit,BA,1,11,3,15,0.05
22981,Unit,BA,1,15,3,11,0.1
23020,Unit,BA,1,11.6,3.9,11.4,0.068
23020,Car,BA,60,59,25,17,4.8
23025,Car,BA,60,59,26,17,4.95
23025,Unit,BA,1,12,4,12,0.08
23117,Unit,BA,1,12,19,34,1
23117,Pal,BA,100,80,200,120,0.115
23117,Pal,KO,50,120,200,80,850
23285,Car,BA,12,17.1,9.4,14.5,0.412
23285,Unit,BA,1,2.8,7.1,8.6,0.03
23293,Car,BA,12,56,37,23,7.14
23293,Unit,BA,1,54,5,12,0.35
24211,Unit,BA,1,14.3,4.1,12.4,0.14
24211,Car,BA,40,52,22,22,6.68
24212,Car,BA,40,52,21,22,6.68
24212,Unit,BA,1,13,4,15,0.15
24213,Car,BA,40,52,22,22,6.66
24213,Unit,BA,1,15,4,13,0.15
24446,Unit,BA,1,95,11,11,4.02
24448,Unit,KO,1,13,13,68,3.3
24620,Car,BA,10,31,44,30,7.4
24620,Unit,BA,1,28,8,15,0.7
24621,Unit,BA,1,28,7.5,15,1.15
24621,Car,BA,10,32,45,30,7.4
27271,Pal,KO,60,120,200,80,850
27271,Pal,KO,90,80,200,120,0
27271,Unit,BA,1,41.8,24.8,19.4,6.144
27374,Unit,BA,1,21.7,9.1,17.8,2.366
27377,Unit,BA,1,20.5,17,22,1
27378,Unit,BA,1,27.6,20,31.9,8.284
53873,Unit,BA,1,17,23.5,10,2
54402,Car,BA,4,59,12,16,3.62
54402,Unit,BA,1,14,10,14,0.83
54636,Car,BA,10,55,28,16,9
54636,Unit,BA,1,13,10.7,15,0.848
56176,Unit,BA,1,10,1,8,0.1
56297,Unit,BA,1,13.9,6.1,39,0.34
56379,Car,BA,10,45.5,33,23,16.21
56379,Unit,BA,1,40,3,25,1.2
57237,Unit,BA,1,10,1,9,0.01
57237,Car,BA,400,39.5,26.5,29.5,5
57443,Unit,BA,1,31,2,22,0.69
57443,Car,BA,20,47,20,33,14.5
61816,Unit,BA,1,27.6,18.5,21.6,4.728
61816,Car,BA,4,44,37,29,19.6
62654,Unit,BA,1,35.4,13.6,11,0.89
62654,Pal,KO,168,120,109,80,151.2
63154,Unit,BA,1,10,2,14,0.1
63235,Unit,BA,1,20,3,20,0.3
65342,Unit,BA,1,32.4,3.7,8.3,0.13
65342,Car,BA,100,61.8,44.9,37.3,14.774
66890,Unit,BA,1,12,3,12.5,0.2
66891,Unit,BA,1,12.5,4,12.5,0.2
66908,Unit,BA,1,48.3,3.7,8.2,0.198
66908,Car,BA,50,50.5,45.3,38.8,11.332
67325,Car,BA,80,41,35,37,6.2
67325,Unit,BA,1,16,4,9,0.06
70770,Unit,BA,1,53,10,25,5
70771,Unit,BA,1,24,13,22,1.12
70772,Unit,BA,1,54,15,23,1.55
70773,Unit,KO,1,105,25,25,5
70864,Unit,BA,1,10,3,7,0.2
70864,Car,BA,120,31,30,30,4.65
70869,Unit,BA,1,36.5,16,23,0.5
71609,Unit,BA,1,39,5.5,21.5,3.27
71697,Car,BA,12,14.5,9.7,17.3,0.43
71697,Unit,BA,1,9,2.8,7.1,0.032
72296,Car,BA,8,59,12,15,4.01
72296,Unit,BA,1,14,6,14,0.46
72536,Unit,KO,1,15.2,96.5,15.2,5.778
76246,Car,BA,100,27,39,28,7.6
76246,Unit,BA,1,11.5,2.5,7.1,0.068
81839,Unit,BA,1,13.9,3.5,14.7,0.03
81839,Car,BA,250,46,25,30,7.95
81840,Unit,BA,1,15.5,3.6,20,0.06
81840,Car,BA,100,47,26,30,7.3
81841,Car,BA,60,47,25,30,8
81841,Unit,BA,1,19.1,4,26.1,0.096
81842,Car,BA,50,48.5,30.3,34.6,10.306
81842,Unit,BA,1,14.8,5.2,19.4,0.196
81844,Unit,BA,1,12.9,4.2,17.3,0.038
81846,Unit,BA,1,12,4.6,16.4,0.154
81846,Car,BA,100,50,26,36,15.45
81847,Unit,BA,1,6.8,2,10,0.008
81847,Car,BA,100,26,12,17,1.02
81877,Car,BA,100,60,42,36,13.69
81877,Unit,BA,1,30,3,9,0.12
81878,Unit,BA,1,47,4,8,0.19
81878,Car,BA,40,50,42,35,8.6
82459,Unit,BA,1,49,2,5,0.28
82460,Unit,BA,1,49.4,6.5,9.9,0.446
82460,Car,BA,25,50,45,27,12.45
82514,Pal,BA,120,120,115,80,126
82514,Unit,BA,1,38.9,17.2,12.1,1.014
82653,Unit,BA,1,38.8,17.2,12.3,1.02
87514,Car,BA,40,63,40,55,10.7
87514,Unit,BA,1,25,6,19,0.25
87591,Car,BA,6,33.9,12.4,28.3,2.128
87591,Unit,BA,1,32.7,3.2,25.8,0.322
87592,Unit,BA,1,32.8,3.1,25.8,0.322
87592,Car,BA,6,28.6,12.6,34.1,2.128
87703,Car,BA,6,20.9,15.1,10.5,0.606
87703,Unit,BA,1,19,1.6,13.6,0.092
87871,Unit,BA,1,14.9,2.6,22.4,0.088
88084,Unit,BA,1,24,9,15,0.5
89876,Car,BA,20,60,46,49,16.7
89876,Unit,BA,1,22.2,13,15,0.596
90166,Unit,BA,1,20,4,10,0.2
90268,Car,BA,100,40.5,25,40,15.6
90268,Unit,BA,1,26,6,11,0.3
90464,Car,BA,60,58.9,17.6,20.2,3.436
90464,Unit,BA,1,11.7,4,11.5,0.052
90465,Car,BA,60,59,17,20,3.9
90465,Unit,BA,1,12.9,4.1,26.3,0.06
90598,Unit,BA,1,11,3.5,5.5,0.04
91000,Car,BA,20,58.6,16.6,15.8,4.32
91000,Unit,BA,1,13.8,3.2,13.9,0.2
91001,Car,BA,20,58.4,16.6,15.9,4.352
91001,Unit,BA,1,13.8,3.2,13.9,0.206
91002,Car,BA,20,56,28,16,9.67
91002,Unit,BA,1,15,6,13,0.46
91443,Car,BA,4,58,12,16,3.7
91443,Unit,BA,1,14,10,14,0.86
92751,Car,BA,10,55,27,16,8.49
92751,Unit,BA,1,15,13,11,0.8
93300,Car,BA,4,59,12,16,3.74
93300,Unit,BA,1,14,10,14,0.86
93766,Car,BA,60,59,17,21,3.14
93766,Unit,BA,1,12,4,12,0.05
93785,Car,BA,8,60,15,15,4.2
93785,Unit,BA,1,15,6,15,0.3
94719,Unit,BA,1,22,6,14,0.2
94719,Car,BA,100,51,52,52,15
94980,Unit,BA,1,14.5,3.3,12.8,0.096
94980,Car,BA,200,40.5,28,40,21.2
95489,Unit,BA,1,21.7,9.3,17.9,2.806
96234,Car,BA,60,60,19,20,3.57
96234,Unit,BA,1,12,4,12,0.06
96272,Unit,BA,1,11,4,11,0.05
96272,Car,BA,60,59,17,20,3.65
96564,Unit,BA,1,10,13,15,0.12
96564,Car,BA,10,55,27,16,8.49
96914,Unit,BA,1,8,2,5,0.1
97051,Unit,BA,1,64,11,12,3
97079,Unit,BA,1,13.8,5.6,13.9,0.42
97079,Car,BA,8,15.6,12.7,59,3.6
97490,Unit,BA,1,58,4,14,0.45
97490,Car,BA,20,61,32,43,10.32
97502,Car,BA,10,23,17,13,3.12
97502,Unit,BA,1,16,2,11,0.3
97507,Unit,BA,1,12,3,14,0.05
97507,Car,BA,48,53,16,37,3.12
97507,Car,BA,8,26,14.5,12,0.46
99218,Car,BA,12,29,17,22,1.8
99218,Unit,BA,1,14,4,15,0.12
101229,Unit,BA,1,11.6,3.9,11.4,0.05
101229,Car,BA,60,59.8,17.4,20.7,3.276
101230,Unit,BA,1,11.3,3.9,11.7,0.05
101230,Car,BA,60,20.1,17.6,59.5,3.408
101336,Unit,BA,1,25,1,22,0.1
101813,Car,BA,125,20.6,11.4,18,4.286
101813,Unit,BA,1,5.8,1.7,8.1,0.032
102297,Unit,BA,1,17,1,17,0.032
102299,Unit,BA,1,18,2,17,0.057
102302,Unit,BA,1,18.7,2.4,19.6,0.034
102303,Unit,BA,1,17,1.4,17,0.053
102892,Unit,BA,1,15,4,11,0.2
103227,Car,BA,2,46,39,40,20.4
103227,Unit,BA,1,42.1,41.1,26.5,11.486
103826,Unit,BA,1,18.6,2.1,6.9,0.098
103827,Unit,BA,1,31,3,7,0.2
104005,Unit,BA,1,0.5,2,0.5,0.004
104717,Car,BA,6,30,28,4,0.894
104717,Unit,BA,1,26.6,1.2,27.7,0.134
104718,Car,BA,6,28.4,4.4,29.2,0.934
104718,Unit,BA,1,26.7,1.2,27.7,0.14
105745,Unit,BA,1,21.2,1.9,17.6,0.024
105879,Unit,BA,1,17.6,2.7,18.6,0.032
106133,Car,BA,10,22,20,16,4.45
106133,Unit,BA,1,19,2,13,0.42
106728,Unit,BA,1,6,2,5,0.1
106735,Unit,BA,1,14,3,9,0.2
106823,Unit,BA,1,13.2,7.2,14.9,0.47
107301,Unit,BA,1,21.5,2.1,16.6,0.028
107640,Unit,BA,1,23.4,19,42.1,4.732
108735,Unit,BA,1,52,16,38,1.18
108735,Car,BA,5,96,58,41,8.55
110189,Car,BA,2,45,35,38,18.85
110189,Unit,BA,1,23.5,35.2,38,9.14
110189,Pal,KO,24,120,122.5,80,240
111654,Car,BA,8,56,41,37,19.73
111654,Unit,BA,1,35,10,27,2.33
