dávka,produkt,počet,uložení,vozík,adresa,vlna,
17638462,C4-0000000000128,1,Policový regál,1193147,VBBBB03072,1452326,41761
17637983,95SG5565,1,Paleta,1193105,VDDDD08093,1452326,13316
17638457,1905000001,1,Policový regál,1193147,VBBBB03055,1452326,16236
17638117,34313241,1,Paleta,1193117,VDDDD09093,1452326,19988
17637801,809-79G-05380,6,Paleta,1193094,VDDDD07091,1452326,42872
17638104,809-79G-05380,1,Paleta,1193116,VDDDD07091,1452326,41761
17638151,95ALPB119,3,Paleta,1193121,VDDDD06137,1452326,48644
17638041,C4-0000000000769,1,Policový regál,1193110,VBBBB03054,1452326,48644
17638133,95SG359298,1,Paleta,1193119,VDDDD08252,1452326,48644
17638108,95ALPS354,1,Paleta,1193116,VDDDD08092,1452326,48644
17638107,C4-0000000000601,1,Paleta,1193116,VDDDD08091,1452326,48644
17638125,C4-0000000000596,1,Paleta,1193118,VDDDD08257,1452326,48644
17638474,185-Y1511-BQ1473W,1,Policový regál,1193149,VBBBB01069,1452326,48644
17638139,C4-0000000000769,1,Policový regál,1193110,VBBBB03054,1452326,48644
17638042,205060081,1,Paleta,1193119,VDDDD08254,1452326,48644
17638132,95ALPS352,1,Paleta,1193119,VDDDD07258,1452326,48644
17638130,185-Y1511-BQ1473W,1,Policový regál,1193149,VBBBB01069,1452326,48644
17638475,185-Y1511-BQ1473W,1,Policový regál,1193149,VBBBB01069,1452326,48644
17638476,C4-0000000000769,1,Policový regál,1193110,VBBBB03054,1452326,48644
17638043,95ALPS352,1,Paleta,1193119,VDDDD07258,1452326,48644
17638131,C4-0000000000735,1,Paleta,1193110,VDDDD08272,1452326,48644
17638044,185-Y1511-BQ1473W,1,Policový regál,1193149,VBBBB01069,1452326,48644
17638477,95SG3592994,1,Paleta,1193110,VDDDD07271,1452326,48644
17638047,95SG359297,1,Paleta,1193116,VDDDD07089,1452326,48644
17638106,2171883315,1,Paleta,1193115,VDDDD10091,1452326,48644
17638099,C4-0000000000836,1,Paleta,1193137,VCCCC04030,1452326,48644
17638370,131991-MGN93-CZ,1,Policový regál,1193137,VBBBB03042,1452326,16236
17638370,53905285,1,Paleta,1193136,VDDDD08205,1452326,16236
17638358,95SG3592991,1,Paleta,1193101,VDDDD09250,1452326,5342
17637931,HP-59U11EA,1,Paleta,1193146,VCCCC03029,1452326,5346
17638444,95ALPS401,1,Paleta,1193132,VDDDD06211,1452326,4062
17638271,C4-0000000000128,1,Policový regál,1193122,VBBBB03072,1452326,5369
17638174,HP-4P5E3AA,1,Paleta,1193136,VDDDD07201,1452326,20294
17638363,2171883314,1,Paleta,1193136,VDDDD09205,1452326,26830
17638359,HP-59U11EA,1,Paleta,1193132,VCCCC03029,1452326,43905
17638271,95SG108422,1,Paleta,1193111,VDDDD08239,1452326,5369
17638055,44301377,2,Paleta,1193123,VDDDD04241,1452326,3268
17638181,31700064,2,Policový regál,1193087,VBBBB00065,1452326,10617
17638487,95SGH929,1,Paleta,1193152,VDDDD05253,1452326,45810
17638502,C4-0000000000827,1,Paleta,1193151,VDDDD06253,1452326,41761
17638499,131991-MGN93-CZ,1,Paleta,1193151,VDDDD11249,1452326,41761
17638498,C4-0000000000653,1,Paleta,1193151,VDDDD08253,1452326,41761
17638498,,,,,,,41761
17638478,185-Y1511-BQ1473W,1,Policový regál,1193149,VBBBB01069,1452326,48644
17638479,185-Y1511-BQ1473W,1,Policový regál,1193149,VBBBB01069,1452326,48644
17638480,2290105819,1,Paleta,1193149,VDDDD11247,1452326,48644
17638480,LNN81YQ00LDCK,1,Policový regál,1193149,VBBBB03071,1452326,48644
17638496,95SG359292,1,Paleta,1193151,VDDDD04245,1452326,41761
17638496,95SG35923,1,Paleta,1193151,VDDDD10251,1452326,41761
17638496,95SG35920,1,Paleta,1193151,VDDDD05249,1452326,41761
17638495,95SG3592993,1,Paleta,1193151,VDDDD09253,1452326,41761
17638483,131991-MGN63-CZ,1,Paleta,1193150,VCCCC04025,1452326,41761
17638483,1FK07AA,1,Paleta,1193150,VDDDD11351,1452326,41761
17638497,23100000145,1,Paleta,1193151,VDDDD11251,1452326,41761
17638439,131991-MGN63-CZ,1,Paleta,1193145,VCCCC04025,1452326,41761
17638439,C4-0000000000836,1,Paleta,1193145,VCCCC04030,1452326,41761
17638443,LNN82K200RDCK,1,Paleta,1193146,VCCCC04031,1452326,47109
17638500,C4-0000000000827,1,Paleta,1193151,VDDDD06253,1452326,41761
17638098,48332003961,1,Paleta,1193115,VDDDD11091,1452326,9674
17638227,231000003741,1,Paleta,1193129,VCCCC02003,1452326,20413
17638103,517214252,1,Paleta,1193116,VDDDD09091,1452326,28645
17638221,1901203584,1,Paleta,1193128,VDDDD09015,1452326,40350
17638228,231000003741,1,Paleta,1193129,VCCCC02003,1452326,44646
17638226,HP-286J4AA,1,Paleta,1193128,VDDDD07017,1452326,44646
17638233,LNN20TD00JHCK,1,Paleta,1193129,VCCCC02002,1452326,44646
17638084,1907110221,2,Paleta,1193114,VCCCC02012,1452326,44646
17637793,81901983312,1,Paleta,1193093,VDDDD06039,1452326,44646
17638073,1870030950881I36CN,1,Paleta,1193112,VCCCC01012,1452326,44646
17637775,205517504,1,Paleta,1193091,NENALEZ050,1452326,44646
17637775,9589400366,1,Paleta,1193091,VDDDD09039,1452326,44646
17638229,LNN82KD008QCK,1,Paleta,1193129,VCCCC02002,1452326,44646
17638022,131991-MLXX3-CZ,1,Paleta,1193108,VCCCC01008,1452326,44646
17638030,2017576754,1,Paleta,1193109,VCCCC02008,1452326,44646
17638218,22901004,1,Paleta,1193127,VDDDD04138,1452326,44646
17638210,LNZGX40Q17229,1,Paleta,1193126,VDDDD11020,1452326,44646
17638216,LNZ4X30H56803,1,Paleta,1193127,VDDDD04140,1452326,44646
17638211,220105066331,1,Paleta,1193127,VDDDD10019,1452326,44646
17638222,13199871-MPU13SK,1,Paleta,1193128,VDDDD08019,1452326,44646
17638109,95SG518,1,Paleta,1193117,VDDDD05091,1452326,44646
17638023,131991-MLXX3-CZ,1,Paleta,1193108,VCCCC01008,1452326,44646
17638077,187003050583J79LT,1,Paleta,1193113,VCCCC01011,1452326,44646
17638076,LNN21EL000PCK,1,Paleta,1193113,VCCCC02012,1452326,44646
17638110,95SG518,1,Paleta,1193117,VDDDD05091,1452326,44646
17638234,30860670,1,Paleta,1193129,VDDDD10015,1452326,44646
17638035,204A031,1,Paleta,1193109,VDDDD06068,1452326,44646
17638053,13300846-MNXD3SK,1,Paleta,1193111,VDDDD10272,1452326,44646
17637790,95PO160,1,Paleta,1193092,VDDDD10039,1452326,44646
17638223,13199871-MPU13SK,1,Paleta,1193128,VDDDD08019,1452326,44646
17637791,95PO155,1,Paleta,1193093,VDDDD10035,1452326,44646
17637795,20505061,8,Paleta,1193093,VDDDD09033,1452326,44646
17638083,LNN82M7003GMC,2,Paleta,1193113,VCCCC01012,1452326,44646
17638052,95XIA327,1,Paleta,1193111,VDDDD07095,1452326,39178
17638052,95XIA2710,1,Paleta,1193111,VDDDD06094,1452326,39178
17638052,95XI3316,1,Paleta,1193111,VDDDD09274,1452326,39178
17638224,13199871-MPU13SK,1,Paleta,1193128,VDDDD08019,1452326,44646
17637789,20725322416,1,Paleta,1193092,VCCCC02003,1452326,19710
17637789,204A043,1,Paleta,1193092,VDDDD08039,1452326,19710
17637787,V700217581960,1,Paleta,1193092,VDDDD09037,1452326,40031
17638232,52607211561565,2,Paleta,1193129,VCCCC01002,1452326,23350
17637792,2017576684,1,Paleta,1193093,VDDDD10040,1452326,23350
17637769,921691392,1,Policový regál,1193090,G002503001,1452326,23350
17637766,296030292,1,Policový regál,1193088,G001603001,1452326,23350
17638200,517213189133,1,Paleta,1193125,VCCCC02005,1452326,23350
17638201,517213189133,1,Paleta,1193125,VCCCC02005,1452326,23350
17637770,98795139,1,Policový regál,1193090,G002802003,1452326,23350
17637767,92204164,1,Policový regál,1193089,G001701003,1452326,23350
17637768,2191060253,1,Policový regál,1193090,G002300028,1452326,38391
