,,dávka,produkt,vozík,adresa,vlna,poradi
,,17668888,1905002004,x,VDDDD07265,1454105,41761
,,17669000,5139302WIFIROU001,1195498,VDDDD09279,1454105,5361
,,17669006,C4-0000000000836,1195499,VBBBB00034,1454105,41761
,,17668828,23100000285,x,VBBBB03047,1454105,49107
,,17668828,23100000343,x,VCCCC03021,1454105,49107
,,17668828,231000003622,x,VBBBB01073,1454105,49107
,,17668828,35120347,x,VDDDD08213,1454105,49107
,,17668828,35120348,x,VDDDD05213,1454105,49107
,,17668828,HP-4P5L1AM,x,VBBBB02049,1454105,49107
,,17668828,LNN81YQ00LDCK,x,VBBBB02071,1454105,49107
,,17668828,517216615,x,VDDDD11241,1454105,49107
,,17668828,C4-0000000000725,x,VDDDD06213,1454105,49107
,,17668828,C4-0000000000726,x,VDDDD05209,1454105,49107
,,17668920,95SG108422,1195492,VDDDD07230,1454105,48644
,,17669004,231000003683,1195476,VBBBB00041,1454105,48644
,,17669001,231000003659,1195498,VDDDD10243,1454105,48644
,,17668925,22040710429,1195493,VDDDD06215,1454105,3583
,,17668902,34313284,1195491,VDDDD08231,1454105,19988
,,17668902,34313285,1195491,VDDDD07229,1454105,19988
,,17669051,C4-0000000000128,1195502,VBBBB01070,1454105,6742
,,17668943,95SG3592992,1195495,VDDDD05208,1454105,41761
,,17668943,C4-0000000000836,1195495,VBBBB00034,1454105,41761
,,17669005,231000003683,1195476,VBBBB00041,1454105,48644
,,17668975,95SG569,1195496,VDDDD05196,1454105,8322
,,17668997,231000003607,1195475,VBBBB00060,1454105,41761
,,17668998,231000003607,1195475,VBBBB00060,1454105,41761
,,17669007,23100000343,1195499,VCCCC03021,1454105,41761
,,17668982,1357020-MNJP3,1195497,VDDDD08179,1454105,41761
,,17669048,95SG567,1195502,VBBBB00053,1454105,41761
,,17669048,1FK07AA,1195502,VBBBB03073,1454105,41761
,,17669054,95XIW648,1195503,VDDDD06277,1454105,48644
,,17669096,31700452,1195470,VBBBB00054,1454105,41761
,,17669097,311531127,1195477,VBBBB01048,1454105,41761
,,17669043,HP-4P5E3AA,1195502,VDDDD03287,1454105,41761
,,17669052,C4-0000000000128,1195503,VBBBB01070,1454105,41761
,,17668925,517213189132,1195493,VDDDD11245,1454105,3583
,,17669075,1357020-MNJP3,1195462,VDDDD09297,1454105,41761
,,17669075,C4-0000000000068,1195462,VDDDD06299,1454105,41761
,,17669055,133008461-MNXF3,1195469,VDDDD01152,1454105,6901
,,17668817,34313241,1195474,VDDDD05151,1454105,20294
,,17669123,95SG108324,1195508,VDDDD09155,1454105,41761
,,17669131,C4-0000000000634,1195509,VCCCC03034,1454105,41761
,,17669124,C4-0000000000801,1195509,VDDDD08152,1454105,41761
,,17669141,HP-4P5L9AA,1195510,VDDDD10150,1454105,41761
,,17669075,HP-4P5N3AA,1195462,VDDDD11303,1454105,41761
,,17669075,1357020-MNJP3,1195462,VDDDD03131,1454105,41761
,,17669075,1905002002,1195462,VDDDD01134,1454105,41761
,,17669075,1905002002,1195462,VDDDD01132,1454105,41761
,,17669075,1905002004,1195462,VDDDD11134,1454105,41761
,,17669075,21718826527,1195462,VDDDD02131,1454105,41761
,,17669075,231000003607,1195462,VBBBB00018,1454105,41761
,,17669075,C4-0000000000068,1195462,VDDDD06302,1454105,41761
,,17669075,C4-0000000000069,1195462,VDDDD06269,1454105,41761
,,17668817,29601031908,1195474,VBBBB03036,1454105,20294
,,17668817,29601031909,1195474,VBBBB02034,1454105,20294
,,17668888,131991-MLXW3-CZ,x,VDDDD11131,1454105,41761
,,17668888,1319981-MV7N2SK,x,VDDDD03140,1454105,41761
,,17668888,13300423-MK2K3,x,VDDDD01140,1454105,41761
,,17668888,133041-MK0C2SK,x,VDDDD02139,1454105,41761
,,17668888,1357020-MNJP3,x,VDDDD03131,1454105,41761
,,17668888,185-UX425JA-BM031R,x,VDDDD11302,1454105,41761
,,17668888,1905002002,x,VBBBB04034,1454105,41761
,,17668888,1905002004,x,VDDDD11134,1454105,41761
,,17668888,1FK07AA,x,VBBBB03072,1454105,41761
,,17668888,202121011,x,VDDDD09133,1454105,41761
,,17668888,2040900010520,x,VDDDD11304,1454105,41761
,,17668888,204090001780,x,VDDDD07305,1454105,41761
,,17668888,205011010,x,VDDDD02140,1454105,41761
,,17668888,205011012,x,VDDDD03139,1454105,41761
,,17668888,205011016,x,VDDDD05113,1454105,41761
,,17668888,2050602338,x,VDDDD08132,1454105,41761
,,17668888,205517506,x,VDDDD05111,1454105,41761
,,17668888,2055180454,x,VDDDD05114,1454105,41761
,,17668888,205A0070,x,VDDDD05284,1454105,41761
,,17668888,205A0071,x,VDDDD06282,1454105,41761
,,17668888,20883354,x,VDDDD09103,1454105,41761
,,17668888,20883362,x,VDDDD09215,1454105,41761
